epoch,auc,accuracy,precision,recall,f1
1,0.6912280701754385,0.6122448979591837,0.5,0.10526315789473684,0.17391304347826086
2,0.6912280701754385,0.6530612244897959,0.6,0.3157894736842105,0.41379310344827586
3,0.6877192982456141,0.6530612244897959,0.5833333333333334,0.3684210526315789,0.4516129032258065
4,0.6701754385964912,0.673469387755102,0.6153846153846154,0.42105263157894735,0.5
5,0.6649122807017543,0.6326530612244898,0.5294117647058824,0.47368421052631576,0.5
6,0.6789473684210526,0.6938775510204082,0.625,0.5263157894736842,0.5714285714285714
7,0.6596491228070175,0.5918367346938775,0.47058823529411764,0.42105263157894735,0.4444444444444444
8,0.6859649122807018,0.6938775510204082,0.6111111111111112,0.5789473684210527,0.5945945945945946
9,0.6456140350877193,0.5918367346938775,0.47058823529411764,0.42105263157894735,0.4444444444444444
10,0.6894736842105263,0.6938775510204082,0.6111111111111112,0.5789473684210527,0.5945945945945946
11,0.6491228070175439,0.5714285714285714,0.4444444444444444,0.42105263157894735,0.43243243243243246
12,0.6807017543859649,0.6530612244897959,0.55,0.5789473684210527,0.5641025641025641
13,0.6456140350877193,0.5714285714285714,0.4444444444444444,0.42105263157894735,0.43243243243243246
14,0.6771929824561403,0.6530612244897959,0.55,0.5789473684210527,0.5641025641025641
15,0.6333333333333333,0.5510204081632653,0.42105263157894735,0.42105263157894735,0.42105263157894735
16,0.675438596491228,0.6326530612244898,0.5238095238095238,0.5789473684210527,0.5500000000000002
17,0.6333333333333333,0.5306122448979592,0.4,0.42105263157894735,0.41025641025641024
18,0.6684210526315789,0.5918367346938775,0.47619047619047616,0.5263157894736842,0.5
19,0.631578947368421,0.5306122448979592,0.4090909090909091,0.47368421052631576,0.43902439024390244
20,0.6666666666666666,0.5918367346938775,0.47619047619047616,0.5263157894736842,0.5
21,0.6280701754385964,0.5306122448979592,0.4090909090909091,0.47368421052631576,0.43902439024390244
22,0.6684210526315789,0.5918367346938775,0.47619047619047616,0.5263157894736842,0.5
23,0.6263157894736842,0.5510204081632653,0.43478260869565216,0.5263157894736842,0.47619047619047616
24,0.6631578947368422,0.5918367346938775,0.47619047619047616,0.5263157894736842,0.5
25,0.6263157894736842,0.5510204081632653,0.43478260869565216,0.5263157894736842,0.47619047619047616
26,0.656140350877193,0.5918367346938775,0.47619047619047616,0.5263157894736842,0.5
27,0.619298245614035,0.5510204081632653,0.43478260869565216,0.5263157894736842,0.47619047619047616
28,0.6508771929824562,0.5918367346938775,0.47619047619047616,0.5263157894736842,0.5
29,0.6175438596491227,0.5510204081632653,0.43478260869565216,0.5263157894736842,0.47619047619047616
30,0.6421052631578947,0.5918367346938775,0.47619047619047616,0.5263157894736842,0.5
